Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
16107,Benjamin Godard - Victor Hugo,OUI,35,33,2,0,2,OUI,OUI,2024-01-26T18:41:05+01:00,"48.865983, 2.275725",Paris,
9020,Toudouze - Clauzel,OUI,21,14,6,1,5,OUI,OUI,2024-01-26T18:44:46+01:00,"48.87929591733507, 2.3373600840568547",Paris,
31104,Mairie de Rosny-sous-Bois,OUI,30,11,17,8,9,OUI,OUI,2024-01-26T18:43:04+01:00,"48.871256519012, 2.4865807592869",Rosny-sous-Bois,
14111,Cassini - Denfert-Rochereau,OUI,25,15,7,3,4,OUI,OUI,2024-01-26T18:44:48+01:00,"48.837525839067, 2.3360354080796",Paris,
44015,Rouget de L'isle - Watteau,OUI,20,17,3,2,1,OUI,OUI,2024-01-26T18:40:18+01:00,"48.778192750803, 2.3963020229163",Vitry-sur-Seine,
14014,Jourdan - Stade Charléty,OUI,60,44,9,3,6,OUI,OUI,2024-01-26T18:44:57+01:00,"48.819428333369, 2.3433353751898",Paris,
12109,Mairie du 12ème,OUI,30,9,16,10,6,OUI,OUI,2024-01-26T18:44:10+01:00,"48.840855311763, 2.3875549435616",Paris,
11104,Charonne - Robert et Sonia Delaunay,OUI,20,18,2,1,1,OUI,OUI,2024-01-26T18:41:39+01:00,"48.855907555969, 2.3925706744194",Paris,
32017,Basilique,OUI,22,2,17,13,4,OUI,OUI,2024-01-26T18:43:41+01:00,"48.93626891059109, 2.3588666820200914",Saint-Denis,
7002,Vaneau - Sèvres,OUI,35,15,14,9,5,OUI,OUI,2024-01-26T18:44:50+01:00,"48.848563233059, 2.3204218259346",Paris,
8026,Messine - Place Du Pérou,OUI,12,5,3,2,1,OUI,OUI,2024-01-26T18:43:25+01:00,"48.875448033960744, 2.315508019010038",Paris,
6108,Saint-Romain - Cherche-Midi,OUI,17,5,11,6,5,OUI,OUI,2024-01-26T18:44:19+01:00,"48.84708159081946, 2.321374788880348",Paris,
13007,Le Brun - Gobelins,OUI,48,40,8,1,7,OUI,OUI,2024-01-26T18:44:37+01:00,"48.835092787824, 2.3534681351338",Paris,
33006,André Karman - République,OUI,31,19,7,0,7,OUI,OUI,2024-01-26T18:43:16+01:00,"48.91039875761846, 2.3851355910301213",Aubervilliers,
6003,Saint-Sulpice,OUI,21,6,15,9,6,OUI,OUI,2024-01-26T18:44:47+01:00,"48.85165383178419, 2.3308077827095985",Paris,
21010,Silly - Galliéni,OUI,25,15,8,2,6,OUI,OUI,2024-01-26T18:40:53+01:00,"48.835583838706, 2.2325500845909",Boulogne-Billancourt,
5110,Lacépède - Monge,OUI,23,19,4,2,2,OUI,OUI,2024-01-26T18:43:25+01:00,"48.84389286531899, 2.3519663885235786",Paris,
17038,Grande Armée - Brunel,OUI,62,58,3,0,3,OUI,OUI,2024-01-26T18:41:53+01:00,"48.876116, 2.288124",Paris,
42016,Pierre et Marie Curie - Maurice Thorez,OUI,27,19,6,2,4,OUI,OUI,2024-01-26T18:44:17+01:00,"48.81580226360801, 2.376804985105991",Ivry-sur-Seine,
15202,Bracion - Périphérique,OUI,30,24,6,1,5,OUI,OUI,2024-01-26T18:39:01+01:00,"48.826103771275, 2.3004549373748",Paris,
41301,Bois de Vincennes - Gare,OUI,50,36,13,4,9,OUI,OUI,2024-01-26T18:44:34+01:00,"48.836022242886884, 2.4708339950830287",Nogent-sur-Marne,
7003,Square Boucicaut,OUI,60,48,8,1,7,OUI,OUI,2024-01-26T18:44:57+01:00,"48.851296433665276, 2.325061820447445",Paris,
6021,Beaux-Arts - Bonaparte,OUI,20,15,2,0,2,OUI,OUI,2024-01-26T18:40:27+01:00,"48.856451985395786, 2.334851883351803",Paris,
5016,Thouin - Cardinal Lemoine,OUI,17,13,4,4,0,OUI,OUI,2024-01-26T18:41:27+01:00,"48.84504716661511, 2.3494647851273465",Paris,
25006,Place Nelson Mandela,OUI,22,21,0,0,0,OUI,OUI,2024-01-26T18:44:06+01:00,"48.862453313908, 2.1961666225454",Rueil-Malmaison,
11025,Froment - Bréguet,OUI,43,4,35,27,8,OUI,OUI,2024-01-26T18:42:47+01:00,"48.8570414504784, 2.37289470306807",Paris,
30002,Jean Rostand - Paul Vaillant Couturier,OUI,40,33,5,1,4,OUI,OUI,2024-01-26T18:42:25+01:00,"48.908168131015, 2.4530601033354",Bobigny,
15047,Morillons - Dantzig,OUI,52,48,3,0,3,OUI,OUI,2024-01-26T18:42:45+01:00,"48.83310149953933, 2.299380004405976",Paris,
17041,Guersant - Gouvion-Saint-Cyr,OUI,36,24,7,2,5,OUI,OUI,2024-01-26T18:44:54+01:00,"48.88287775178599, 2.287667370814871",Paris,
8050,Boétie - Ponthieu,OUI,33,27,3,1,2,OUI,OUI,2024-01-26T18:44:49+01:00,"48.871417284355, 2.3076787590981",Paris,
